Category: All categories

Country,Heineken: (6/6/21 - 6/7/21)
Mayotte,100
Timor-Leste,74
New Caledonia,51
St Lucia,43
Curaçao,27
Belize,23
Jersey,14
Suriname,13
Guam,12
Réunion,12
Mali,10
Cuba,9
Haiti,7
Iceland,6
Costa Rica,5
Armenia,4
Senegal,4
Angola,4
Jamaica,4
Netherlands,4
Zimbabwe,4
Tunisia,3
Mauritius,3
Puerto Rico,3
Albania,3
Honduras,3
Paraguay,2
Estonia,2
Ireland,2
Cambodia,2
Brazil,2
Qatar,2
Cyprus,2
Romania,2
El Salvador,1
Jordan,1
Nepal,1
Slovakia,1
Morocco,1
Kenya,1
Sweden,1
Singapore,1
Ecuador,1
Guatemala,1
Finland,1
Lithuania,1
Bulgaria,1
Mexico,1
Czechia,1
Israel,1
Croatia,1
Belgium,1
Chile,1
Italy,1
Portugal,1
Peru,1
Poland,1
Vietnam,1
Serbia,1
Hungary,1
Colombia,1
United Kingdom,<1
Belarus,<1
South Africa,<1
Austria,<1
Spain,<1
France,<1
New Zealand,<1
Argentina,<1
Egypt,<1
Ukraine,<1
Germany,<1
Pakistan,<1
Venezuela,<1
Denmark,<1
Malaysia,<1
Bangladesh,<1
Canada,<1
United Arab Emirates,<1
United States,<1
Saudi Arabia,<1
Australia,<1
Greece,<1
Indonesia,<1
India,<1
Philippines,<1
Türkiye,<1
Russia,<1
Anguilla,
Montserrat,
Svalbard & Jan Mayen,
American Samoa,
Solomon Islands,
Samoa,
Dominica,
St Vincent & the Grenadines,
Liberia,
South Sudan,
Western Sahara,
Gambia,
Tajikistan,
Laos,
Lebanon,
Isle of Man,
Hong Kong,
British Indian Ocean Territory,
Guyana,
Iran,
Iraq,
French Guiana,
Greenland,
Grenada,
Equatorial Guinea,
Guinea-Bissau,
Guadeloupe,
Japan,
Kazakhstan,
Guinea,
Kyrgyzstan,
Gibraltar,
Kiribati,
St Kitts & Nevis,
South Korea,
Kuwait,
Ghana,
Guernsey,
Aruba,
Libya,
Georgia,
Liechtenstein,
Sri Lanka,
Lesotho,
Gabon,
Luxembourg,
Latvia,
Macao,
St Martin,
Micronesia,
Monaco,
Moldova,
Madagascar,
Maldives,
Faroe Islands,
Marshall Islands,
North Macedonia,
Falkland Islands (Islas Malvinas),
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Fiji,
Martinique,
Ethiopia,
Malawi,
Eritrea,
Algeria,
Namibia,
Dominican Republic,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Djibouti,
Norway,
Cayman Islands,
Nauru,
Christmas Island,
Oman,
Cape Verde,
Panama,
Pitcairn Islands,
Comoros,
Heard & McDonald Islands,
Palau,
Papua New Guinea,
Congo - Brazzaville,
Congo - Kinshasa,
North Korea,
Cameroon,
Côte d’Ivoire,
Palestine,
French Polynesia,
China,
Switzerland,
Cocos (Keeling) Islands,
Central African Republic,
Rwanda,
Botswana,
Sudan,
Bouvet Island,
Bhutan,
South Georgia & South Sandwich Islands,
St Helena,
Brunei,
Barbados,
Sierra Leone,
Bolivia,
San Marino,
Somalia,
St Pierre & Miquelon,
Bermuda,
St Barthélemy,
São Tomé & Príncipe,
Bosnia & Herzegovina,
Bahamas,
Slovenia,
Bahrain,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Thailand,
Burkina Faso,
Tokelau,
Turkmenistan,
Caribbean Netherlands,
Tonga,
Trinidad & Tobago,
Benin,
Burundi,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
Azerbaijan,
US Outlying Islands,
Uruguay,
Antigua & Barbuda,
Uzbekistan,
Vatican City,
French Southern Territories,
Antarctica,
British Virgin Islands,
US Virgin Islands,
Andorra,
Vanuatu,
Wallis & Futuna,
Åland Islands,
Kosovo,
Yemen,
Afghanistan,
Zambia,
Cook Islands,
