Category: All categories

Country,Heineken: (6/10/21 - 6/11/21)
Mayotte,100
Sint Maarten,21
French Polynesia,16
Guernsey,13
Andorra,12
Suriname,9
Papua New Guinea,7
Bahamas,7
Botswana,6
Somalia,6
Burkina Faso,4
Guinea,3
Réunion,3
Mozambique,2
Netherlands,2
Cuba,2
Slovenia,1
St Helena,1
Cameroon,1
North Macedonia,1
Kuwait,1
Myanmar (Burma),1
Nicaragua,1
Syria,1
Brazil,1
Paraguay,1
Croatia,1
Ireland,1
Trinidad & Tobago,1
Puerto Rico,1
Uzbekistan,1
Ghana,1
Costa Rica,<1
Portugal,<1
Slovakia,<1
Romania,<1
Hungary,<1
Mexico,<1
Ecuador,<1
Saudi Arabia,<1
South Africa,<1
Lithuania,<1
United Kingdom,<1
Switzerland,<1
United Arab Emirates,<1
Denmark,<1
Kenya,<1
Morocco,<1
Poland,<1
Italy,<1
Austria,<1
Germany,<1
Vietnam,<1
Serbia,<1
France,<1
Peru,<1
Singapore,<1
Chile,<1
New Zealand,<1
Malaysia,<1
Spain,<1
Argentina,<1
Czechia,<1
Greece,<1
Canada,<1
Türkiye,<1
Sweden,<1
Philippines,<1
Colombia,<1
Belgium,<1
United States,<1
Thailand,<1
Ukraine,<1
Australia,<1
India,<1
Indonesia,<1
Russia,<1
Heard & McDonald Islands,
Antarctica,
Christmas Island,
Eritrea,
St Pierre & Miquelon,
Cook Islands,
Palau,
Solomon Islands,
St Kitts & Nevis,
US Virgin Islands,
St Vincent & the Grenadines,
Tajikistan,
Afghanistan,
Lebanon,
Zimbabwe,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Grenada,
Honduras,
Equatorial Guinea,
Haiti,
Guinea-Bissau,
Gambia,
Isle of Man,
Guadeloupe,
British Indian Ocean Territory,
Gibraltar,
Iran,
Iraq,
Iceland,
Israel,
Georgia,
Jamaica,
Jersey,
Jordan,
Japan,
Kazakhstan,
Gabon,
Kyrgyzstan,
Cambodia,
Kiribati,
Micronesia,
South Korea,
Faroe Islands,
Laos,
Aruba,
Angola,
Libya,
St Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Falkland Islands (Islas Malvinas),
Luxembourg,
Latvia,
Macao,
St Martin,
Fiji,
Monaco,
Moldova,
Madagascar,
Maldives,
Finland,
Marshall Islands,
Ethiopia,
Mali,
Malta,
Estonia,
Montenegro,
Mongolia,
Northern Mariana Islands,
Western Sahara,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Egypt,
Algeria,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Dominican Republic,
Niue,
Dominica,
Norway,
Nepal,
Nauru,
Greenland,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Cyprus,
Cayman Islands,
Curaçao,
Cape Verde,
Comoros,
Congo - Brazzaville,
North Korea,
Congo - Kinshasa,
Côte d’Ivoire,
Palestine,
China,
Qatar,
Cocos (Keeling) Islands,
Central African Republic,
Bouvet Island,
Rwanda,
Bhutan,
Sudan,
Senegal,
Brunei,
South Georgia & South Sandwich Islands,
Barbados,
Svalbard & Jan Mayen,
Bolivia,
Sierra Leone,
El Salvador,
San Marino,
Bermuda,
Belize,
Belarus,
South Sudan,
São Tomé & Príncipe,
St Barthélemy,
Bosnia & Herzegovina,
Bahrain,
Bulgaria,
Eswatini,
Bangladesh,
Seychelles,
Caribbean Netherlands,
Turks & Caicos Islands,
Chad,
Togo,
Benin,
Burundi,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Azerbaijan,
Tunisia,
Antigua & Barbuda,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
French Southern Territories,
US Outlying Islands,
Uruguay,
American Samoa,
Armenia,
Vatican City,
Albania,
Venezuela,
British Virgin Islands,
Åland Islands,
Anguilla,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Djibouti,
