Category: All categories

Country,Heineken: (6/13/21 - 6/14/21)
French Guiana,100
Burundi,76
Sint Maarten,50
Malawi,44
Aruba,43
Jersey,36
Lesotho,35
Belize,15
Gabon,7
Guinea,5
North Macedonia,4
Namibia,4
Congo - Kinshasa,3
Netherlands,3
Mauritius,3
Mozambique,3
Cuba,2
Ireland,2
Laos,2
Albania,2
Azerbaijan,2
Brazil,1
Romania,1
Bulgaria,1
Costa Rica,1
Croatia,1
Tanzania,1
Hungary,1
Guatemala,1
Denmark,1
Austria,1
Tunisia,1
Panama,1
Bolivia,1
Paraguay,1
Chile,1
Venezuela,1
South Africa,<1
Germany,<1
Finland,<1
Norway,<1
Mexico,<1
Poland,<1
Singapore,<1
Dominican Republic,<1
Belarus,<1
New Zealand,<1
Italy,<1
France,<1
Peru,<1
Iraq,<1
Vietnam,<1
Spain,<1
United Kingdom,<1
Algeria,<1
Slovakia,<1
Canada,<1
Colombia,<1
Argentina,<1
Switzerland,<1
Sweden,<1
Kazakhstan,<1
Malaysia,<1
Türkiye,<1
Belgium,<1
Greece,<1
United States,<1
Egypt,<1
Czechia,<1
Saudi Arabia,<1
Taiwan,<1
India,<1
Indonesia,<1
Ukraine,<1
Australia,<1
Russia,<1
Thailand,<1
Philippines,<1
Iran,<1
Japan,<1
São Tomé & Príncipe,
Seychelles,
Equatorial Guinea,
Guinea-Bissau,
St Vincent & the Grenadines,
Chad,
Lebanon,
Zimbabwe,
Guadeloupe,
Gibraltar,
Grenada,
Greenland,
Ghana,
Guernsey,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Georgia,
Haiti,
Micronesia,
Faroe Islands,
Isle of Man,
Falkland Islands (Islas Malvinas),
British Indian Ocean Territory,
Fiji,
Ethiopia,
Estonia,
Iceland,
Israel,
Western Sahara,
Jamaica,
Eritrea,
Jordan,
Ecuador,
Dominica,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St Kitts & Nevis,
South Korea,
Kuwait,
Afghanistan,
Djibouti,
Angola,
Libya,
St Lucia,
Liechtenstein,
Sri Lanka,
Cyprus,
Lithuania,
Luxembourg,
Latvia,
Macao,
St Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Cayman Islands,
Marshall Islands,
Christmas Island,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Curaçao,
Mauritania,
Montserrat,
Martinique,
Cape Verde,
Comoros,
Cook Islands,
Mayotte,
Congo - Brazzaville,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Cameroon,
Côte d’Ivoire,
Gambia,
Nauru,
China,
Oman,
Pakistan,
Cocos (Keeling) Islands,
Pitcairn Islands,
Central African Republic,
Botswana,
Palau,
Papua New Guinea,
Bouvet Island,
Puerto Rico,
North Korea,
Portugal,
Bhutan,
Palestine,
French Polynesia,
Qatar,
Réunion,
Brunei,
Barbados,
Rwanda,
Bermuda,
Sudan,
Senegal,
St Barthélemy,
South Georgia & South Sandwich Islands,
St Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St Pierre & Miquelon,
Serbia,
South Sudan,
Bosnia & Herzegovina,
Suriname,
Bahamas,
Slovenia,
Bahrain,
Eswatini,
Bangladesh,
Burkina Faso,
Syria,
Turks & Caicos Islands,
Caribbean Netherlands,
Togo,
Benin,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Antigua & Barbuda,
French Southern Territories,
Tuvalu,
Antarctica,
American Samoa,
Uganda,
Armenia,
US Outlying Islands,
Uruguay,
United Arab Emirates,
Uzbekistan,
Vatican City,
Andorra,
Åland Islands,
British Virgin Islands,
US Virgin Islands,
Anguilla,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Nepal,
