Category: All categories

Region,Coca Cola: (6/24/21 - 6/25/21)
Vermont,100
New Hampshire,80
North Dakota,73
Louisiana,65
Georgia,65
District of Columbia,63
Mississippi,57
Kansas,56
Alabama,56
Nevada,54
Utah,49
Kentucky,48
Minnesota,46
Connecticut,45
Florida,42
Hawaii,40
Delaware,39
Texas,39
Tennessee,37
Idaho,35
Oklahoma,35
Maryland,35
Massachusetts,34
Arizona,33
Illinois,32
Missouri,32
California,31
Michigan,31
Nebraska,30
North Carolina,30
Virginia,29
New Mexico,28
South Carolina,27
New York,27
Indiana,27
Arkansas,26
New Jersey,24
Pennsylvania,22
Ohio,22
Washington,19
Colorado,14
Wisconsin,8
Alaska,
South Dakota,
Rhode Island,
Oregon,
Montana,
Maine,
Iowa,
West Virginia,
Wyoming,
