Category: All categories

Region,Coca Cola: (6/3/21 - 6/4/21)
Wyoming,100
Georgia,35
Idaho,27
North Dakota,27
Rhode Island,25
District of Columbia,25
Oklahoma,22
Alabama,20
Hawaii,19
New Mexico,18
Missouri,18
Kansas,17
North Carolina,16
Maryland,16
New Hampshire,15
Illinois,15
Mississippi,14
Arkansas,14
Florida,13
Massachusetts,13
Iowa,13
Virginia,13
Arizona,12
Wisconsin,12
South Carolina,12
Maine,11
Pennsylvania,11
Connecticut,10
Nevada,10
Texas,10
Indiana,10
Kentucky,10
New York,10
Ohio,9
California,9
Tennessee,9
Oregon,8
Utah,8
Michigan,8
Washington,7
Louisiana,6
New Jersey,5
Minnesota,5
Colorado,5
Nebraska,
Delaware,
Montana,
South Dakota,
Vermont,
West Virginia,
Alaska,
