Category: All categories

Region,Coca Cola: (6/29/21 - 6/30/21)
Idaho,100
Rhode Island,34
Oklahoma,33
New Hampshire,33
Georgia,33
Maine,29
West Virginia,27
Alabama,25
Hawaii,25
Connecticut,24
Nevada,23
Nebraska,22
Florida,20
South Dakota,19
Montana,19
Texas,18
Missouri,17
New Mexico,16
Utah,16
Iowa,16
South Carolina,16
Michigan,14
Indiana,14
Maryland,13
California,13
Louisiana,12
Illinois,12
Virginia,12
Colorado,11
Pennsylvania,11
Arkansas,11
New York,11
North Carolina,11
Tennessee,10
Mississippi,10
Washington,10
New Jersey,10
Kansas,10
Arizona,10
Wisconsin,9
Ohio,8
Minnesota,8
Oregon,8
Massachusetts,5
Alaska,
North Dakota,
Vermont,
Kentucky,
Delaware,
District of Columbia,
Wyoming,
