Category: All categories

Region,Coca Cola: (6/9/21 - 6/10/21)
Wyoming,100
Alabama,99
Mississippi,96
New Mexico,88
Kentucky,73
Georgia,70
Louisiana,68
West Virginia,63
South Dakota,55
North Carolina,55
Idaho,54
Maryland,51
Missouri,50
Tennessee,50
Florida,49
New Jersey,47
Virginia,45
South Carolina,45
Texas,41
Connecticut,40
Arizona,40
Nevada,39
Pennsylvania,39
Colorado,38
Illinois,36
Wisconsin,36
Indiana,36
Michigan,35
Iowa,35
Arkansas,34
California,33
Utah,33
New York,32
Ohio,29
Massachusetts,28
Oregon,27
Minnesota,27
Maine,27
Kansas,26
Nebraska,23
Oklahoma,17
Washington,16
Hawaii,
Delaware,
District of Columbia,
Rhode Island,
New Hampshire,
Vermont,
North Dakota,
Montana,
Alaska,
