Category: All categories

Region,Coca Cola: (6/16/21 - 6/17/21)
District of Columbia,100
Delaware,90
Vermont,77
Georgia,74
Nevada,74
New Jersey,74
Utah,73
New Mexico,73
Florida,72
Maryland,69
Idaho,66
Connecticut,66
Alabama,61
Massachusetts,59
California,59
Illinois,58
Texas,58
Virginia,54
Arizona,54
New York,54
Arkansas,53
Washington,50
Minnesota,50
North Dakota,49
Colorado,48
Kansas,48
Maine,46
Indiana,46
North Carolina,46
Wyoming,45
South Carolina,44
Hawaii,43
New Hampshire,43
Alaska,40
Ohio,39
West Virginia,38
Kentucky,36
Michigan,36
Mississippi,35
Wisconsin,35
Tennessee,35
Louisiana,34
Missouri,33
Nebraska,33
Pennsylvania,31
Iowa,30
Rhode Island,24
Oklahoma,16
Oregon,15
Montana,
South Dakota,
