Category: All categories

Region,Coca Cola: (6/25/21 - 6/26/21)
North Dakota,100
New Hampshire,85
Georgia,71
Hawaii,69
Rhode Island,69
Connecticut,58
Maine,57
Louisiana,50
Iowa,48
New Mexico,47
Arizona,46
Maryland,44
Alabama,44
Montana,41
South Carolina,41
Nevada,40
Arkansas,40
Wisconsin,40
Florida,40
Pennsylvania,39
Massachusetts,34
Texas,34
New Jersey,33
West Virginia,33
Minnesota,29
Utah,29
Kentucky,29
California,29
Illinois,28
New York,28
Oregon,28
Virginia,28
Missouri,26
North Carolina,24
Ohio,22
Oklahoma,21
Tennessee,20
Nebraska,20
Kansas,18
Michigan,16
Indiana,16
Colorado,12
Washington,6
Alaska,
South Dakota,
Mississippi,
Vermont,
Idaho,
Delaware,
District of Columbia,
Wyoming,
