Category: All categories

Region,Coca Cola: (6/1/21 - 6/2/21)
West Virginia,100
Vermont,45
Georgia,34
Alabama,30
Nevada,29
District of Columbia,27
Tennessee,26
Nebraska,26
Utah,24
Maryland,20
New Mexico,18
North Carolina,18
South Carolina,17
Idaho,16
Kentucky,16
Connecticut,16
Florida,16
Missouri,16
Michigan,15
Kansas,15
Mississippi,15
Wisconsin,14
Arizona,14
Colorado,14
Texas,13
Ohio,13
Arkansas,13
Indiana,12
California,12
Louisiana,12
New Hampshire,12
Illinois,12
Virginia,11
Iowa,11
New York,11
Washington,11
Oklahoma,11
Pennsylvania,10
New Jersey,9
Massachusetts,9
Oregon,7
Minnesota,5
Alaska,
South Dakota,
Rhode Island,
North Dakota,
Montana,
Maine,
Hawaii,
Delaware,
Wyoming,
