Category: All categories

Region,Coca Cola: (6/8/21 - 6/9/21)
Vermont,100
Wyoming,61
Louisiana,35
West Virginia,34
Missouri,32
Alabama,31
North Dakota,31
Kentucky,27
Georgia,27
South Dakota,25
Kansas,23
Arkansas,23
North Carolina,23
Maryland,22
Oregon,21
Mississippi,20
New Mexico,20
Illinois,18
New Jersey,18
Tennessee,18
South Carolina,18
Florida,18
Minnesota,17
Virginia,17
Maine,17
Texas,16
Arizona,16
Nebraska,15
Wisconsin,14
Washington,14
Iowa,14
Ohio,13
Connecticut,13
Pennsylvania,13
New York,12
Utah,12
Michigan,11
California,11
Massachusetts,10
Indiana,10
Idaho,9
Nevada,7
Colorado,6
Rhode Island,
Oklahoma,
New Hampshire,
District of Columbia,
Delaware,
Montana,
Hawaii,
Alaska,
