Category: All categories

Region,Coca Cola: (6/5/21 - 6/6/21)
Wyoming,100
Alaska,57
West Virginia,45
Delaware,45
Louisiana,44
Georgia,38
North Dakota,29
Kansas,25
South Carolina,23
Hawaii,23
Indiana,22
Nebraska,22
Arkansas,21
Missouri,21
Florida,19
Idaho,19
Texas,18
North Carolina,18
Alabama,17
California,16
Iowa,16
Utah,16
Tennessee,16
Mississippi,15
Massachusetts,14
Pennsylvania,14
New York,13
Virginia,13
Illinois,12
Ohio,12
New Jersey,12
Connecticut,12
Arizona,11
Michigan,11
Washington,10
Maryland,9
Kentucky,9
Colorado,8
Minnesota,8
Oklahoma,7
Oregon,6
Wisconsin,5
South Dakota,
District of Columbia,
Rhode Island,
Nevada,
New Mexico,
Vermont,
New Hampshire,
Maine,
Montana,
