Category: All categories

Region,Coca Cola: (6/26/21 - 6/27/21)
Wyoming,100
Georgia,37
District of Columbia,36
Iowa,31
Alabama,26
South Carolina,26
Arkansas,25
Arizona,24
Nevada,24
Nebraska,21
Oklahoma,20
Hawaii,20
Pennsylvania,19
Kentucky,18
Kansas,18
Connecticut,18
Wisconsin,17
Florida,17
Maryland,17
Minnesota,16
Tennessee,16
West Virginia,16
Missouri,16
Virginia,16
New York,15
California,14
New Jersey,14
Indiana,13
Texas,13
Massachusetts,13
Illinois,12
Oregon,11
North Carolina,11
Ohio,10
Michigan,9
Colorado,7
Louisiana,7
Mississippi,
New Mexico,
Rhode Island,
New Hampshire,
South Dakota,
North Dakota,
Montana,
Utah,
Maine,
Vermont,
Washington,
Idaho,
Delaware,
Alaska,
