Category: All categories

Region,Coca Cola: (6/10/21 - 6/11/21)
Georgia,100
Vermont,93
Alabama,85
Mississippi,78
Tennessee,73
Kansas,70
Alaska,66
Oklahoma,59
New Mexico,58
Missouri,52
North Carolina,52
Nevada,47
Texas,46
Pennsylvania,46
Idaho,45
Rhode Island,44
Iowa,41
Nebraska,41
Florida,40
Wisconsin,38
Illinois,38
New Jersey,37
California,37
South Carolina,35
Arizona,34
Louisiana,34
Massachusetts,34
New York,32
Maryland,32
Michigan,31
Connecticut,29
Virginia,29
Kentucky,29
Colorado,29
Minnesota,24
Washington,22
Ohio,20
Utah,17
Oregon,11
District of Columbia,
New Hampshire,
South Dakota,
North Dakota,
Montana,
Maine,
Indiana,
Arkansas,
Hawaii,
Delaware,
West Virginia,
Wyoming,
