Category: All categories

Region,Coca Cola: (6/27/21 - 6/28/21)
Wyoming,100
Georgia,76
Alabama,75
New Mexico,71
Iowa,59
Tennessee,57
Arizona,46
Arkansas,42
Nevada,38
Michigan,37
Florida,36
Wisconsin,36
Pennsylvania,35
Idaho,34
California,33
Missouri,33
Nebraska,33
Mississippi,30
New York,30
Kentucky,29
Virginia,29
North Carolina,28
Oklahoma,28
Texas,27
Ohio,25
Colorado,24
Kansas,23
South Carolina,22
New Jersey,22
Indiana,20
Illinois,20
Connecticut,19
Maryland,19
Massachusetts,19
Oregon,19
Washington,15
Louisiana,15
Minnesota,11
Delaware,
District of Columbia,
Rhode Island,
Hawaii,
South Dakota,
New Hampshire,
North Dakota,
Utah,
Montana,
Vermont,
Maine,
West Virginia,
Alaska,
