Category: All categories

Region,Coca Cola: (6/7/21 - 6/8/21)
Mississippi,100
Georgia,98
Minnesota,98
Louisiana,87
Alabama,86
Idaho,85
Kentucky,84
Tennessee,78
Kansas,72
South Dakota,72
Vermont,70
Oregon,70
Iowa,59
Illinois,49
Washington,48
Missouri,47
New Mexico,46
Florida,46
Virginia,45
Hawaii,45
Texas,44
South Carolina,43
North Carolina,43
Michigan,40
Connecticut,39
Arkansas,38
Indiana,37
California,36
New Hampshire,36
Ohio,35
Utah,35
Nebraska,35
Pennsylvania,34
New York,33
Wisconsin,31
Oklahoma,29
Nevada,28
Massachusetts,25
Maryland,25
New Jersey,24
Arizona,18
Colorado,14
Alaska,
Rhode Island,
North Dakota,
Montana,
Maine,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
