Category: All categories

Region,Coca Cola: (6/12/21 - 6/13/21)
North Dakota,100
Delaware,97
South Dakota,76
Georgia,73
Nebraska,62
Alabama,59
Maine,56
West Virginia,55
Kansas,47
Florida,40
Kentucky,39
Colorado,39
Tennessee,39
Louisiana,38
Idaho,38
Nevada,36
Massachusetts,36
Washington,35
Mississippi,35
Texas,33
Arkansas,32
Indiana,32
North Carolina,32
New Hampshire,31
Rhode Island,31
Utah,30
Virginia,29
Minnesota,29
New York,28
New Jersey,26
South Carolina,25
Oregon,25
Pennsylvania,24
Missouri,24
Ohio,23
Michigan,23
Arizona,22
California,22
New Mexico,21
Wisconsin,21
Illinois,20
Connecticut,18
Oklahoma,17
Maryland,16
Alaska,
Montana,
Vermont,
Iowa,
Hawaii,
District of Columbia,
Wyoming,
