Category: All categories

Region,Coca Cola: (6/22/21 - 6/23/21)
Wyoming,100
Georgia,91
Connecticut,86
Nevada,84
District of Columbia,79
Alabama,72
Alaska,69
Kentucky,64
Utah,57
Maine,56
Mississippi,54
Arkansas,54
Rhode Island,52
North Carolina,52
Florida,50
Arizona,48
Oregon,48
Delaware,48
Iowa,47
Texas,45
Missouri,44
Nebraska,39
California,38
Colorado,38
New Jersey,38
Ohio,38
Tennessee,36
Washington,34
Indiana,34
South Carolina,34
Pennsylvania,33
West Virginia,32
Illinois,31
New York,28
Kansas,28
Louisiana,28
Michigan,26
Virginia,24
New Mexico,23
Massachusetts,22
Maryland,19
Oklahoma,18
Wisconsin,15
Minnesota,9
New Hampshire,
Idaho,
North Dakota,
South Dakota,
Montana,
Hawaii,
Vermont,
