Category: All categories

Region,Coca Cola: (6/28/21 - 6/29/21)
Wyoming,100
Vermont,64
New Hampshire,54
Georgia,52
South Carolina,45
Alabama,44
Arkansas,36
Louisiana,33
South Dakota,31
Nebraska,29
Colorado,27
Rhode Island,26
Florida,26
Nevada,25
Kentucky,25
West Virginia,25
Tennessee,24
Texas,23
Oregon,22
Connecticut,22
Missouri,21
Arizona,21
California,21
New York,20
Virginia,20
Pennsylvania,19
North Carolina,18
Michigan,18
Maryland,18
Ohio,17
New Jersey,17
Illinois,17
Massachusetts,16
Oklahoma,14
Utah,14
Iowa,14
Indiana,13
New Mexico,13
Washington,13
Minnesota,12
Wisconsin,9
Mississippi,
North Dakota,
Montana,
Maine,
Kansas,
Idaho,
Hawaii,
Delaware,
District of Columbia,
Alaska,
