Category: All categories

Region,Coca Cola: (6/14/21 - 6/15/21)
Idaho,100
Georgia,83
Wyoming,79
District of Columbia,60
Kansas,52
South Dakota,52
Arkansas,52
West Virginia,49
South Carolina,49
Kentucky,45
Louisiana,44
Texas,44
Minnesota,44
Tennessee,42
Washington,42
Florida,41
Utah,41
Massachusetts,40
Nevada,39
New York,38
North Carolina,38
Missouri,37
Arizona,36
Illinois,35
Maryland,33
Michigan,33
New Jersey,32
Connecticut,32
California,31
Indiana,30
Iowa,29
New Mexico,28
Ohio,27
Virginia,27
Pennsylvania,26
Alabama,22
Colorado,22
Mississippi,19
Oklahoma,18
Wisconsin,17
Nebraska,17
Oregon,16
Rhode Island,
New Hampshire,
North Dakota,
Montana,
Maine,
Vermont,
Hawaii,
Delaware,
Alaska,
