Category: All categories

Region,Coca Cola: (6/4/21 - 6/5/21)
Montana,100
Georgia,78
Delaware,63
Rhode Island,60
West Virginia,60
Nebraska,49
North Carolina,44
Missouri,43
Indiana,42
Oklahoma,41
Virginia,40
Arkansas,39
Iowa,37
Florida,37
Mississippi,34
Tennessee,34
Nevada,32
New Mexico,30
Ohio,29
Arizona,29
Hawaii,28
Kansas,27
Kentucky,27
New Hampshire,26
California,26
Alabama,25
Maryland,25
Texas,25
New York,23
South Carolina,23
Massachusetts,22
Connecticut,22
Oregon,22
Wisconsin,21
Illinois,20
Pennsylvania,19
Michigan,17
Louisiana,17
Washington,15
Colorado,10
Minnesota,7
New Jersey,3
Alaska,
South Dakota,
Utah,
North Dakota,
Vermont,
Maine,
Idaho,
District of Columbia,
Wyoming,
