Category: All categories

Region,Coca Cola: (6/17/21 - 6/18/21)
Alaska,100
Montana,89
Nevada,76
Georgia,72
New Mexico,68
Arizona,66
California,65
Florida,64
New Jersey,61
District of Columbia,60
Texas,59
Idaho,57
West Virginia,56
New Hampshire,54
Connecticut,53
Massachusetts,50
Maryland,50
New York,49
Illinois,48
Alabama,44
Rhode Island,44
Delaware,43
North Dakota,41
Michigan,41
Minnesota,41
Louisiana,40
Virginia,40
Arkansas,39
Indiana,39
North Carolina,39
Nebraska,38
Mississippi,36
Washington,36
Pennsylvania,35
Oklahoma,35
Ohio,35
Oregon,34
Tennessee,34
Iowa,33
Missouri,33
Colorado,32
Wisconsin,32
Utah,26
Kansas,19
South Carolina,19
Kentucky,11
Maine,
South Dakota,
Hawaii,
Vermont,
Wyoming,
