Category: All categories

Region,Heineken: (6/21/21 - 6/22/21)
District of Columbia,100
Montana,42
New Hampshire,32
Oregon,25
Maine,23
Massachusetts,23
West Virginia,22
Mississippi,19
Wisconsin,11
Oklahoma,11
Michigan,7
Maryland,7
New Jersey,7
Texas,6
Tennessee,5
Florida,5
Pennsylvania,4
Arizona,4
New York,4
Washington,4
Georgia,4
Illinois,3
California,2
Alaska,
Wyoming,
Minnesota,
Louisiana,
North Carolina,
North Dakota,
Nebraska,
Kentucky,
Kansas,
New Mexico,
Nevada,
Indiana,
Ohio,
Idaho,
Iowa,
Hawaii,
Rhode Island,
South Carolina,
South Dakota,
Delaware,
Connecticut,
Utah,
Virginia,
Vermont,
Colorado,
Arkansas,
Alabama,
Missouri,
