Category: All categories

Region,Heineken: (6/5/21 - 6/6/21)
Rhode Island,100
Vermont,95
North Dakota,58
Hawaii,54
Idaho,41
Colorado,20
Massachusetts,17
North Carolina,12
Florida,12
Nevada,9
South Carolina,7
Virginia,6
California,6
New York,6
Georgia,5
Texas,5
Pennsylvania,3
New Jersey,3
Alaska,
Wyoming,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
Kentucky,
Kansas,
Nebraska,
New Hampshire,
Indiana,
New Mexico,
Illinois,
Iowa,
Ohio,
Oklahoma,
Oregon,
Delaware,
District of Columbia,
Connecticut,
South Dakota,
Tennessee,
Arizona,
Utah,
Arkansas,
Alabama,
Washington,
Wisconsin,
West Virginia,
Louisiana,
