Category: All categories

Region,Heineken: (6/1/21 - 6/2/21)
Vermont,100
West Virginia,55
Louisiana,39
Iowa,29
Nebraska,21
Oklahoma,18
Nevada,14
Washington,14
South Carolina,14
Maryland,12
Illinois,11
Florida,10
Oregon,9
North Carolina,7
Massachusetts,7
California,5
New York,5
New Jersey,4
Georgia,4
Michigan,4
Texas,4
Pennsylvania,3
Alaska,
Wyoming,
Missouri,
Mississippi,
Montana,
Maine,
North Dakota,
Kentucky,
New Hampshire,
Kansas,
New Mexico,
Indiana,
Idaho,
Ohio,
Hawaii,
Delaware,
District of Columbia,
Rhode Island,
Connecticut,
South Dakota,
Tennessee,
Colorado,
Utah,
Virginia,
Arizona,
Arkansas,
Wisconsin,
Alabama,
Minnesota,
