Category: All categories

Region,Heineken: (6/2/21 - 6/3/21)
Alaska,100
Iowa,42
West Virginia,32
Nebraska,22
Georgia,18
Tennessee,17
Wisconsin,17
South Carolina,16
Oregon,15
Colorado,14
Utah,14
Virginia,13
Alabama,11
Arizona,10
Texas,8
Florida,8
Pennsylvania,7
California,4
New York,3
Mississippi,
Wyoming,
Maine,
Michigan,
Minnesota,
Missouri,
Massachusetts,
Montana,
North Carolina,
North Dakota,
Louisiana,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Kentucky,
Ohio,
Oklahoma,
Kansas,
Indiana,
Rhode Island,
Illinois,
South Dakota,
Idaho,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Washington,
Connecticut,
Arkansas,
Maryland,
