Category: All categories

Region,Heineken: (6/19/21 - 6/20/21)
Idaho,100
West Virginia,96
Connecticut,82
Montana,71
Delaware,59
Maine,58
Rhode Island,57
Hawaii,38
Washington,29
Illinois,23
Nevada,23
Utah,23
Pennsylvania,22
Massachusetts,20
Minnesota,17
Colorado,13
New York,13
Florida,13
California,12
Indiana,12
New Jersey,11
Virginia,10
Wisconsin,10
North Carolina,9
Texas,8
Ohio,8
Alaska,
Wyoming,
North Dakota,
Nebraska,
New Hampshire,
Missouri,
New Mexico,
Michigan,
Maryland,
Louisiana,
Oklahoma,
Oregon,
Kentucky,
Kansas,
South Carolina,
South Dakota,
Tennessee,
Iowa,
Georgia,
District of Columbia,
Vermont,
Arizona,
Arkansas,
Alabama,
Mississippi,
