Category: All categories

Region,Heineken: (6/13/21 - 6/14/21)
District of Columbia,100
Hawaii,80
Louisiana,29
Georgia,23
Colorado,19
Virginia,19
California,17
Minnesota,15
Florida,15
Indiana,13
Massachusetts,12
Illinois,12
Wisconsin,12
Missouri,12
Texas,12
Tennessee,11
Ohio,11
New York,11
Michigan,10
Maryland,10
Washington,9
Alaska,
Wyoming,
Kentucky,
Kansas,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Idaho,
Iowa,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Delaware,
Connecticut,
Utah,
Arizona,
Vermont,
Arkansas,
Alabama,
West Virginia,
Maine,
