Category: All categories

Region,Heineken: (6/17/21 - 6/18/21)
Rhode Island,100
North Dakota,86
Alabama,64
Mississippi,50
Maryland,22
New York,22
New Jersey,18
Oklahoma,16
Ohio,14
Texas,10
California,9
Arizona,9
Florida,8
Virginia,8
Tennessee,8
Georgia,7
Pennsylvania,7
Illinois,5
North Carolina,5
Alaska,
Wyoming,
Maine,
Michigan,
Minnesota,
Missouri,
Louisiana,
Montana,
Kentucky,
Kansas,
Nebraska,
New Hampshire,
Indiana,
New Mexico,
Nevada,
Idaho,
Iowa,
Hawaii,
Oregon,
Delaware,
District of Columbia,
South Carolina,
South Dakota,
Connecticut,
Colorado,
Utah,
Arkansas,
Vermont,
Washington,
Wisconsin,
West Virginia,
Massachusetts,
