Category: All categories

Region,Heineken: (6/28/21 - 6/29/21)
New Hampshire,100
Oklahoma,86
Louisiana,76
Maine,74
Nebraska,70
Kansas,60
Indiana,46
Nevada,27
Florida,22
Missouri,19
Georgia,16
Massachusetts,16
Washington,15
Colorado,13
Pennsylvania,12
Illinois,12
California,11
New York,11
Texas,10
Alaska,
Wyoming,
Kentucky,
Michigan,
Minnesota,
Idaho,
Mississippi,
Montana,
North Carolina,
North Dakota,
Iowa,
Hawaii,
New Jersey,
New Mexico,
Delaware,
District of Columbia,
Ohio,
Connecticut,
Oregon,
Arizona,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arkansas,
Utah,
Virginia,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Maryland,
