Category: All categories

Region,Heineken: (6/24/21 - 6/25/21)
Maine,100
Oregon,70
Connecticut,49
New Jersey,40
Oklahoma,36
Wisconsin,33
Alabama,31
Georgia,27
South Carolina,27
New York,25
Pennsylvania,21
Texas,20
Illinois,13
California,12
Florida,10
Alaska,
Wyoming,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Indiana,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
Idaho,
New Mexico,
Nevada,
Iowa,
Ohio,
Hawaii,
Delaware,
District of Columbia,
Rhode Island,
Colorado,
South Dakota,
Tennessee,
Arizona,
Utah,
Virginia,
Vermont,
Washington,
Arkansas,
West Virginia,
Kansas,
