Category: All categories

Region,Heineken: (6/18/21 - 6/19/21)
Delaware,100
Iowa,58
New Hampshire,46
Nevada,29
Washington,24
Louisiana,21
Utah,21
Minnesota,13
Indiana,12
New York,12
Missouri,12
Illinois,11
Ohio,10
Massachusetts,9
Maryland,9
Florida,8
New Jersey,8
Texas,7
Michigan,5
California,5
North Carolina,4
Alaska,
Wyoming,
Kentucky,
Kansas,
Mississippi,
Montana,
Idaho,
North Dakota,
Nebraska,
Hawaii,
Georgia,
New Mexico,
District of Columbia,
Connecticut,
Colorado,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arizona,
Arkansas,
Virginia,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Maine,
