Category: All categories

Region,Heineken: (6/7/21 - 6/8/21)
South Dakota,100
West Virginia,79
Rhode Island,55
Idaho,49
Oklahoma,40
Indiana,37
Massachusetts,24
Maryland,18
Illinois,13
Ohio,11
New York,10
Florida,10
Colorado,9
New Jersey,9
North Carolina,7
Georgia,7
California,5
Michigan,5
Texas,4
Alaska,
Wyoming,
Maine,
Kentucky,
Minnesota,
Missouri,
Mississippi,
Montana,
Kansas,
North Dakota,
Nebraska,
New Hampshire,
Iowa,
New Mexico,
Nevada,
Hawaii,
Delaware,
District of Columbia,
Oregon,
Pennsylvania,
Connecticut,
South Carolina,
Arizona,
Tennessee,
Arkansas,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
Alabama,
Louisiana,
