Category: All categories

Region,Heineken: (6/9/21 - 6/10/21)
Oregon,100
West Virginia,90
Nebraska,74
Idaho,60
Louisiana,51
Illinois,47
Nevada,41
Alabama,34
Kentucky,31
Washington,31
Colorado,27
Minnesota,25
Maryland,23
Tennessee,19
Pennsylvania,19
Massachusetts,15
California,14
New Jersey,11
North Carolina,10
Virginia,9
Texas,8
Florida,7
New York,6
Alaska,
Wyoming,
Mississippi,
Montana,
Michigan,
North Dakota,
Maine,
New Hampshire,
Kansas,
New Mexico,
Indiana,
Iowa,
Ohio,
Oklahoma,
Hawaii,
Georgia,
Rhode Island,
South Carolina,
South Dakota,
Delaware,
District of Columbia,
Utah,
Connecticut,
Vermont,
Arizona,
Wisconsin,
Arkansas,
Missouri,
