Category: All categories

Region,Heineken: (6/8/21 - 6/9/21)
Alaska,100
Kansas,23
Wisconsin,19
Pennsylvania,17
Colorado,15
South Carolina,15
California,15
North Carolina,14
New York,11
New Jersey,8
Illinois,8
Georgia,7
Florida,7
Texas,6
Mississippi,
Wyoming,
Idaho,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Iowa,
Montana,
Hawaii,
North Dakota,
Nebraska,
New Hampshire,
Delaware,
New Mexico,
Nevada,
District of Columbia,
Ohio,
Oklahoma,
Oregon,
Connecticut,
Rhode Island,
Arizona,
South Dakota,
Tennessee,
Arkansas,
Utah,
Virginia,
Vermont,
Washington,
Alabama,
West Virginia,
Indiana,
