Category: All categories

Region,Heineken: (6/20/21 - 6/21/21)
Alaska,100
Nebraska,56
Minnesota,28
Iowa,23
Nevada,20
New Mexico,20
Louisiana,19
Tennessee,13
Kansas,13
Washington,13
New Jersey,12
Alabama,11
Arizona,8
Indiana,7
Maryland,6
Ohio,6
California,6
New York,5
Virginia,5
Michigan,4
Texas,4
Mississippi,
Wyoming,
Massachusetts,
Missouri,
Kentucky,
Montana,
North Carolina,
North Dakota,
Illinois,
New Hampshire,
Idaho,
Hawaii,
Georgia,
Florida,
Delaware,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
District of Columbia,
Connecticut,
Utah,
Colorado,
Vermont,
Arkansas,
Wisconsin,
West Virginia,
Maine,
