Category: All categories

Region,Heineken: (6/12/21 - 6/13/21)
Vermont,100
Delaware,47
South Dakota,29
Montana,28
Oklahoma,19
Nevada,18
South Carolina,15
Maryland,15
Tennessee,13
Connecticut,12
Minnesota,11
Virginia,10
Michigan,8
Oregon,8
Massachusetts,7
Florida,7
New York,6
Louisiana,6
New Jersey,6
Washington,6
Missouri,6
Wisconsin,6
Ohio,5
Arizona,5
Colorado,5
Pennsylvania,4
Illinois,4
California,4
Texas,4
Indiana,4
Georgia,4
Alaska,
New Mexico,
New Hampshire,
Nebraska,
North Dakota,
North Carolina,
Mississippi,
Maine,
Rhode Island,
Kentucky,
Kansas,
Idaho,
Iowa,
Utah,
Hawaii,
District of Columbia,
Arkansas,
Alabama,
West Virginia,
Wyoming,
