Category: All categories

Region,Heineken: (6/26/21 - 6/27/21)
District of Columbia,100
North Dakota,39
Iowa,35
New Hampshire,33
Kansas,27
Connecticut,14
Oklahoma,13
New York,10
Wisconsin,8
New Jersey,7
Illinois,7
North Carolina,6
Virginia,6
Arizona,4
Massachusetts,4
California,4
Pennsylvania,3
Texas,3
Florida,3
Alaska,
Wyoming,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
Louisiana,
Kentucky,
Nebraska,
Indiana,
Idaho,
New Mexico,
Nevada,
Hawaii,
Ohio,
Georgia,
Oregon,
Delaware,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Colorado,
Utah,
Arkansas,
Vermont,
Washington,
Alabama,
West Virginia,
Maryland,
