Category: All categories

Region,Heineken: (6/14/21 - 6/15/21)
Maine,100
Montana,92
New Mexico,77
Alabama,35
Connecticut,26
New Jersey,22
Indiana,22
Colorado,21
Michigan,20
Virginia,17
Ohio,13
Florida,12
Maryland,10
Arizona,10
California,10
Georgia,8
Texas,7
New York,4
Alaska,
Wyoming,
Louisiana,
Kentucky,
Kansas,
Minnesota,
Missouri,
Mississippi,
Illinois,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
Idaho,
Iowa,
Nevada,
Hawaii,
Delaware,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
District of Columbia,
Utah,
Arkansas,
Vermont,
Washington,
Wisconsin,
West Virginia,
Massachusetts,
