Category: All categories

Region,Heineken: (6/22/21 - 6/23/21)
District of Columbia,100
South Dakota,54
Kansas,28
Oregon,25
Oklahoma,22
Alabama,17
Arkansas,14
Nevada,13
Kentucky,11
Massachusetts,11
Ohio,9
Michigan,9
Colorado,9
New York,7
Virginia,6
Florida,6
Illinois,5
Texas,5
California,5
Pennsylvania,4
Alaska,
Wyoming,
Maryland,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Louisiana,
Indiana,
Idaho,
Iowa,
Hawaii,
Georgia,
Rhode Island,
South Carolina,
Delaware,
Tennessee,
Connecticut,
Utah,
Arizona,
Vermont,
Washington,
Wisconsin,
West Virginia,
Maine,
